NCDD_CodeP,NCDD_CodeD,NCDD_CodeC,Commune,TT_Family,Commune_S,Corn_Ha,Corn_Yield,Cass_Ha,Cass_Yield,Cash_Ha,Cash_Yield,Mang_Ha,Mang_Yield,PigFarm,PigRaised,ChickFarm,ChickRaise,DuckFarm,DuckRaised,CowFarm,CowRaised,BuffFarm,BuffRaised,Rpig,Rpoultry,Rcow,Rbuff,RLUn_1Ha_N,RLUn_1Ha_P,Per_HH_El,Fami_Impro,Fami_Unim,RatImpLatH,RiField_Ha,Ratio
2,205,20504,Preaek Luong,2224,5884,35,2,0,0,0,0,0,0,125,436,883,1739,20,114,460,753,0,0,3.488,2.052,1.637,0,1238,55.6655,22.368421,467,387,20.998201,1197,20.34
2,205,20505,Peam Aek,3223,5752,5,4,0,0,0,0,0,0,76,337,1589,9043,46,211,200,855,4,13,4.4342,5.6599,4.275,3.25,1154,35.8052,78.220452,673,889,20.881167,4984,86.65
2,205,20506,Prey Chas,991,1134,0,0,0,0,0,0,0,0,20,60,32,136,6,60,0,0,0,0,3,5.1579,0,0,0,0,47.511312,15,5,1.513623,0,0
2,205,20507,Kaoh Chiveang,2442,19805,0,0,0,0,0,0,0,0,38,76,48,306,3,1025,0,0,0,0,2,26.098,0,0,0,0,33.660934,0,315,0,0,0
2,206,20601,Moung,3201,10751,0,0,0,0,0,0,0,0,224,446,2007,11541,145,1439,1499,5407,0,0,1.9911,6.0316,3.6071,0,182,5.6857,42.966021,1277,261,39.893783,10198,94.86
2,206,20602,Kear,3469,5379,0,0,0,0,0,0,0,0,575,1357,1852,12870,555,8688,1723,3988,1,1,2.36,8.9564,2.3146,1,724,20.8706,45.961252,856,334,24.675699,3811,70.85
2,206,20603,Prey Svay,3003,11040,0,0,5,3,0,0,0,0,542,993,2070,15037,222,3143,2046,4611,42,113,1.8321,7.9319,2.2537,2.6905,535,17.8155,26.12072,772,343,25.707626,10715,97.06
2,206,20604,Ruessei Krang,3212,14684,0,0,0,0,0,0,0,0,349,639,1986,10342,380,10735,1301,4002,65,283,1.8309,8.9083,3.0761,4.3538,209,6.5068,10.733396,432,778,13.449564,14078,95.87
2,206,20605,Chrey,2564,44092,0,0,0,0,0,0,0,0,152,790,1372,8703,95,7901,566,1767,54,156,5.1974,11.3183,3.1219,2.8889,204,7.9563,34.977238,633,173,24.687988,7500,17.01
2,206,20606,Ta Loas,2075,15873,0,0,0,0,0,0,0,0,112,432,1077,7299,191,9888,584,1514,27,88,3.8571,13.5544,2.5925,3.2593,309,14.8916,1.667563,668,0,32.192771,5300,33.39
2,206,20607,Kakaoh,2790,9452,0,0,0,0,0,0,0,0,693,1200,1843,8682,451,1406,1873,3869,43,181,1.7316,4.3976,2.0657,4.2093,490,17.5627,4.456825,502,401,17.992832,7270,76.91
2,206,20608,Prey Touch,2212,18871,0,0,0,0,0,0,0,0,232,541,1240,6829,229,9620,936,1851,10,38,2.3319,11.1974,1.9776,3.8,142,6.4195,35.943396,1043,7,47.151899,10362,54.91
2,206,20609,Robas Mongkol,2765,8926,6,2,3,10,0,0,2,2,283,927,1820,8672,266,934,1240,3253,3,6,3.2756,4.605,2.6234,2,257,9.2948,2.512964,709,0,25.641953,5651,63.31
2,207,20701,Sdau,2000,25370.12,7477,2.5,1607,20,91,0.8,269,1,75,369,1163,8785,208,2530,812,3212,2,8,4.92,8.2531,3.9557,4,100,5,39.186851,812,548,40.6,3263.5,12.86
2,207,20702,Andaeuk Haeb,1098,1394233,585,2,1385.3,25,5,0.2,19,40,21,129,527,2863,27,196,506,1493,3,27,6.1429,5.5217,2.9506,9,472,42.9872,0.607112,429,55,39.071038,92935,6.67
2,207,20703,Phlov Meas,1355,12115,6171,4.5,1490,35,0,0,51,3,52,209,851,2866,65,412,245,793,2,21,4.0192,3.5786,3.2367,10.5,18,1.3284,7.300885,270,607,19.926199,80,0.66
2,207,20704,Traeng,2666,1276.39,8012,3.5,12000,25,0,0,20,25,59,406,1772,7177,60,490,703,2279,1,3,6.8814,4.185,3.2418,3,237,8.8897,14.634146,921,193,34.546137,925,72.47
2,208,20801,Anlong Vil,4031,3132,0,0,0,0,0,0,0,0,239,736,1440,6298,91,6064,435,929,12,44,3.0795,8.0745,2.1356,3.6667,1177,29.1987,71.960695,1857,31,46.067973,2685,85.73
