Commune,LSize_Ha,Corn_Ha,Corn_Yield,Cassava_Ha,CassaYield,Cashew_Ha,CasheYield,Mango_Ha,MangoYield
Ou Char,1096.71,0,0,0,0,0,0,0,0
Rotanak,507,0,0,0,0,0,0,0,0
Sala Visai,28528.76,0,0,144,4,469,4,0,0
Spean Tnaot,19321,0,0,0,0,120,0,0,0
Sdau,25370.12,7477,2.5,1607,20,91,0.8,269,1
Trea,4440,0,0,0,0,0,0,0,0
Phan Nheum,11076,35,0.4,21,0.5,827,1000,0,0
Chi Kraeng,5400,0,0,0,0,0,0,0,0
Tuol Kreul,17853,0,0,50,8,32,0,0,0
Svay Pao,200,0,0,0,0,0,0,0,0
Anlong Vil,3132,0,0,0,0,0,0,0,0
Tuol Ta Aek,296.697,0,0,0,0,0,0,0,0
Sameakki,7873,19,2,0,0,9193,3,0,0
Chrey,44092,0,0,0,0,0,0,0,0
Preaek Preah Sdach,294.4528,0,0,0,0,0,0,0,0
Ou Mal,3820.68,0,0,0,0,0,0,0,0
Srae Sangkum,560000,0,0,10,17,0,0,0,0
Chheu Teal,10100,39,2,466,25,2004,3,1,12
Voat Kor,3119.59,0,0,0,0,0,0,0,0
Ou Dambang Pir,1872,0,0,0,0,0,0,0,0
Ou Dambang Muoy,1514,2,0.5,0,0,0,0,0,0
Anlong Samnar,9640,250,1,0,0,15,0,0,0
Kamrieng,6328.3,2207,5,3648,25,0,0,5,0
Kampong Preang,21040,0,0,0,0,0,0,0,0
Voat Ta Muem,3200,17,2,0,0,0,0,12,1.8
Doung,13463.75,10,1,0,0,0,1.5,0,0
Phnum Sampov,4653,10,3,80,5,0,0,0,0
Ou Andoung,15042,30532,3.05,5375,2.41,0,0,0,0
Sokh Sant,0,0,0,0,0,0,0,0,0
Sochet,48800,0,0,55,3,0,0.65,0,0
Chheu Teal,3955,40,1,0,0,0,0,10,1
Snoeng,9056,0,0,0,0,0,0,0,0
Sala Krau,10666,1204,2.4,2510,20,0,0,0,0
Tum Ring,44786.32,8,0.76,1680,0.92,15,0.6,0,0
Sambour,16684,96,3,677,7,210,1.5,0,0
Srae Chis,41730,0,0,0,0,0,0,0,0
Kampong Chen Cheung,2655,4,1.5,0,0,0,0,0,0
Ou Ta Paong,57515,0,0,2,1,0,0,0,0
Banteay Stoung,5550.376,0,0,0,0,2,0,0,0
Reang Kesei,10000,0,0,0,0,0,0,0,0
Bay Damram,4125,20,1.8,0,0,0,0,0,0
Klaeng,14700,15,2.5,325,15,0,0.8,0,0
Ta Loas,15873,0,0,0,0,0,0,0,0
Chhuk,10063,5,1,35,10,0,0,0,0
Preah Damrei,1833,0,0,0,0,120,0,0,0
Damrei Slab,9481.71,3,1,0,0,75,0,0,0
Prey Touch,18871,0,0,0,0,0,0,0,0
Kaoh Khnhaer,21600,0,0,0,0,0,0,0,0
Kbal Damrei,57810,0,0,399,1.995,0,0,0,0
Traeng,1276.39,8012,3.5,12000,25,0,0,20,25
Msa Krang,7281,0,0,0,0,0,0,0,0
Kantueu Pir,4000,75,2,54,3,0,0,57,3
Koul,12150,22,4,0,0,0,1,0,0
Rung Roeang,1327,0,0,0,0,0,0,0,0
Stueng Kach,11288,4785,7,4527,45,0,0,0,0
Nipech,8774.45,0,0,0,0,378,1.5,0,0
Kampong Chen Tboung,2432.16,4.5,2.5,0,0,0,0,0,0
Kakaoh,9452,0,0,0,0,0,0,0,0
Me Tuek,7765.5,0,0,0,0,0,0,0,0
Kantueu Muoy,6324,46,6,0,0,0,0,0,0
Kampong Cham,60490,10,2,79,6,0,0,0,0
Samprouch,22457.96,0,0,0,0,0,0,0,0
Krang Teh,79700,0,0,187,30,58,0,0,0
Chamna Leu,3177,0,0,0,0,0,0,0,0
Pu Chrey,228618,5,2,1974,10,0,0,0,0
Chaeng Mean Chey,8377,507,2,456,5,0,0,15,5
Thipakdei,7065,15,4,0,0,0,0,30,1
Chamna Kraom,13233,0,0,0,0,0,0,0,0
Tuol Lvea,10800,90,4,141,25,22,0,2,0
Pailin,2000,10,5,0,0,0,1,5,3
Bar Yakha,11800,385,2,1135,3,0,0,0,0
Peam Bang,24352,0,0,0,0,0,0,0,0
Sraeung,28925.9,0,0,1819,4,1217,3,0,0
Tbaeng,14201.71,0,0,120,30,0,1,100,2
Andaeuk Haeb,1394233,585,2,1385.3,25,5,0.2,19,40
Ou Ta Vau,19700,6460,7,6730,30,10,0.5,20,8
Trapeang Ruessei,12818.35,0,0,300,12,350,0.7,0,0
San Kor,15950,3,3,0,0,0,0,0,0
Chey,362122,0,0,0,0,35,0.5,0,0
Boeng Bat Kandaol,19700,0,0,0,0,0,0,0,0
Tang Krasau,10800,0,0,740,10,1512,1,0,0
Snam Preah,18974,2,2,4,5,0,0,0,0
Ruessei Krang,14684,0,0,0,0,0,0,0,0
Hab,3415,0,0,0,0,0,0,5,0.5
Phlov Meas,12115,6171,4.5,1490,35,0,0,51,3
Kear,5379,0,0,0,0,0,0,0,0
Doun Ba,19100,500,3,400,20,0,0,2,2
Moung,10751,0,0,0,0,0,0,0,0
Kaos Krala,2700,0,0,0,0,0,0,0,0
Boeng Lvea,80800,0,0,1900,8,14,0.5,0,0
Kampong Svay,8492,53,1.5,59,2,0,1.5,8,1
Kraya,87300,10,1.5,909,3,828,1,20,1
Sambour,11792.95,0,0,12,10,0,0,0,0
Sandan,9070,0,0,111,6,0,0,0,0
Prey Svay,11040,0,0,5,3,0,0,0,0
Sambok,24990,20,3,215,20,0,0,0,0
Preah Phos,15820,18,3,37,5,0,0,1,8
Robas Mongkol,8926,6,2,3,10,0,0,2,2
Changkrang,22730,5,7.5,3500,45.5,0,7.5,0,0
Mean Chey,6816,2677,4,1434,30,0,0,7,0
Svay Doun Kaev,3120,0,0,0,0,0,0,0,0
Ou Samril,21156,3950,4.5,2750,25,30,0,138,7
Chhnal Moan,49795,225,5,271,8,0,0,3,30
Chong Phlah,155665,0,0,1.5,2,0,0,0,0
Boeng Khnar,5373,0,0,12,1.5,0,0,0,0
Ti Pou,35162,0,0,2790,55.8,0,100,0,0
Voadthonak,21000,2,2,135,15,0,1,0,0
Phat Sanday,33143.89,50,3.2,0,0,31,0,0,0
Kampong Kou,27300.82,4,8,0,0,0,0,0,0
Prey Ta Hu,998.1,0,0,0,0,0,0,0,0
Achar Leak,855.64,0,0,0,0,0,0,0,0
Prey Kuy,3279,0,0,0,0,0,0,0,0
Kdei Doung,2091.67,0,0,0,0,550,0,0,0
Chrouy Banteay,47040,45,1.5,1291,16,0,1,0,0
Tboung Krapeu,2244.5,0,0,18,5,3560,2,3,3
Thmei,4203,0,0,87,7,0,0,0,0
Kampong Krabau,798,1,2,0,0,0,0,0,0
Bu Sra,56344,22,3,666,20,0,2,6,2.5
Ta Sanh,1719,10726,6,1278,30,0,0,0,0
Kampong Roteh,953.69,0,0,0,0,0,0,0,0
Damrei Choan Khla,1199.32,0,0,0,0,0,0,0,0
Kandieng,2562,0,0,0,0,0,0,0,0
