Province,District,Com_Code,Commune,TOTPOP,URBAN04,U_Den08,URB_RC2011,URB_RCSDC,U_Reclass,Male11,Female11,Family11,Den_2011,TOPOP11,TOT_Area_C,DENSITY
Phnom Penh,Mean Chey,120608,Nirouth,20646,U,2072,U0411,U0411,1,8849,9392,3522,17.778752,18241,1026,2072
Phnom Penh,Chamkar Mon,120102,Boeng Keng Kang Ti Muoy,12440,U,12472.2,U0411,U0411,1,3758,3920,1280,82.960562,7678,92.55,12472.2
Phnom Penh,Chamkar Mon,120105,Oulampik,9686,U,31933,U0411,U0411,1,3098,3219,1233,210.918197,6317,29.95,31933
Phnom Penh,Chamkar Mon,120103,Boeng Keng Kang Ti Pir,11202,U,38310.9,U0411,U0411,1,4168,4413,1572,282.641634,8581,30.36,38310.9
Phnom Penh,Chamkar Mon,120106,Tuol Svay Prey Ti Muoy,13621,U,23137.1,U0411,U0411,1,5789,6008,2136,262.155556,11797,45,23137.1
Phnom Penh,Mean Chey,120612,Veal Sbov,9501,U,1218.4,U0411,U0411,1,3108,3220,1296,6.161636,6328,1027,1218.4
Phnom Penh,Chamkar Mon,120108,Tumnob Tuek,18169,U,23122.6,U0411,U0411,1,5486,5838,2103,78.638889,11324,144,23122.6
Phnom Penh,Chamkar Mon,120104,Boeng Keng Kang Ti Bei,22200,U,33743,U0411,U0411,1,8238,8841,3002,260.35061,17079,65.6,33743
Kandal,Angk Snuol,80803,Chhak Chheu Neang,4824,NU,635.8,U11,U11,1,2031,2061,818,7.141361,4092,573,635.8
Phnom Penh,Mean Chey,120610,Preaek Aeng,15791,U,1845.6,U0411,U0411,1,6910,7273,3123,9.02864,14183,1570.89,1845.6
Kandal,Angk Snuol,80804,Damnak Ampil,6360,NU,775.3,U11,U11,1,2982,2964,1196,7.070155,5946,841,775.3
Phnom Penh,Chamkar Mon,120109,Tuol Tumpung Ti Pir,10731,U,22833.9,U0411,U0411,1,4268,4491,1484,176.770938,8759,49.55,22833.9
Phnom Penh,Mean Chey,120602,Boeng Tumpun,57495,U,12462.3,U0411,U0411,1,25725,24217,8770,11.533949,49942,4330,12462.3
Phnom Penh,Chamkar Mon,120111,Boeng Trabaek,8652,U,18861.9,U0411,U0411,1,3818,4041,1546,154.158494,7859,50.98,18861.9
Phnom Penh,Chamkar Mon,120110,Tuol Tumpung Ti Muoy,12375,U,19779.5,U0411,U0411,1,4664,4493,1483,172.027052,9157,53.23,19779.5
Phnom Penh,Mean Chey,120609,Kbal Kaoh,18537,U,561.9,U0411,U0411,1,8373,8973,3756,5.957856,17346,2911.45,561.9
