NCDD_Code,NCDD_CodeD,Acronym_D,Acronym_C,NCDD_CodeC,Com_Code,OCSCode,Commune,Per_HH_El
2,208,D,C,20801,20801,20801,Anlong Vil,71.960695
2,203,M,S,20301,20301,20301,Tuol Ta Aek,98.505642
6,604,D,C,60406,60406,60406,Sameakki,0
2,206,D,C,20605,20605,20605,Chrey,34.977238
2,203,M,S,20302,20302,20302,Preaek Preah Sdach,92.53402
2,203,M,S,20307,20307,20307,Ou Mal,69.567081
11,1102,D,C,110206,110206,110206,Srae Sangkum,19.572368
6,606,D,C,60601,60601,60601,Chheu Teal,1.495449
2,203,M,S,20308,20308,20308,Voat Kor,86.655113
2,208,D,C,20809,20809,20809,Ou Dambang Pir,66.107707
2,208,D,C,20808,20808,20808,Ou Dambang Muoy,70.479134
17,1704,D,C,170401,170401,170401,Anlong Samnar,23.901345
2,212,D,C,21201,21201,21201,Kamrieng,24.447717
2,208,D,C,20806,20806,20806,Kampong Preang,25.158562
2,208,D,C,20810,20810,20810,Voat Ta Muem,54.806126
6,604,D,C,60401,60401,60401,Doung,0
2,201,D,C,20106,20106,20106,Phnum Sampov,72.263644
24,2402,D,C,240204,240204,240204,Ou Andoung,37.011885
11,1102,D,C,110204,110204,110204,Sokh Sant,6.358382
6,606,D,C,60608,60608,60608,Sochet,0
2,201,D,C,20104,20104,20104,Chheu Teal,57.425743
2,201,D,C,20107,20107,20107,Snoeng,18.796199
24,2402,D,C,240201,240201,240201,Sala Krau,18.90681
6,606,D,C,60609,60609,60609,Tum Ring,21.804511
6,605,D,C,60503,60503,60503,Sambour,14.448669
10,1004,D,C,100409,100409,100409,Srae Chis,0
6,608,D,C,60804,60804,60804,Kampong Chen Cheung,21.396731
15,1501,D,C,150105,150105,150105,Ou Ta Paong,18.173706
6,608,D,C,60801,60801,60801,Banteay Stoung,0
2,208,D,C,20807,20807,20807,Reang Kesei,11.181641
2,201,D,C,20103,20103,20103,Bay Damram,45.269382
6,606,D,C,60603,60603,60603,Klaeng,0
2,206,D,C,20606,20606,20606,Ta Loas,1.667563
6,605,D,C,60501,60501,60501,Chhuk,0
6,608,D,C,60810,60810,60810,Preah Damrei,0
6,602,D,C,60202,60202,60202,Damrei Slab,0
2,206,D,C,20608,20608,20608,Prey Touch,35.943396
10,1004,D,C,100404,100404,100404,Kaoh Khnhaer,0
10,1004,D,C,100403,100403,100403,Kbal Damrei,0
2,207,D,C,20704,20704,20704,Traeng,14.634146
6,608,D,C,60806,60806,60806,Msa Krang,0
2,201,D,C,20102,20102,20102,Kantueu Pir,50.266667
6,605,D,C,60502,60502,60502,Koul,0
6,608,D,C,60811,60811,60811,Rung Roeang,0
24,2402,D,C,240203,240203,240203,Stueng Kach,64.856451
6,602,D,C,60205,60205,60205,Nipech,0
6,608,D,C,60805,60805,60805,Kampong Chen Tboung,56.731302
2,206,D,C,20607,20607,20607,Kakaoh,4.456825
15,1501,D,C,150104,150104,150104,Me Tuek,2.19681
2,201,D,C,20101,20101,20101,Kantueu Muoy,10.755556
10,1004,D,C,100402,100402,100402,Kampong Cham,0
6,608,D,C,60812,60812,60812,Samprouch,1.623084
11,1104,D,C,110401,110401,110401,Krang Teh,2.793296
6,608,D,C,60803,60803,60803,Chamna Leu,0
11,1104,D,C,110402,110402,110402,Pu Chrey,3.076923
2,201,D,C,20105,20105,20105,Chaeng Mean Chey,25.683646
2,213,D,C,21301,21301,21301,Thipakdei,23.659004
6,608,D,C,60802,60802,60802,Chamna Kraom,7.261854
24,2401,M,S,240103,240103,240103,Tuol Lvea,77.455048
24,2401,M,S,240101,240101,240101,Pailin,79.637527
24,2401,M,S,240104,240104,240104,Bar Yakha,48.59675
6,608,D,C,60807,60807,60807,Peam Bang,12.454874
6,605,D,C,60504,60504,60504,Sraeung,0
6,602,D,C,60208,60208,60208,Tbaeng,0.082542
2,207,D,C,20702,20702,20702,Andaeuk Haeb,0.607112
24,2401,M,S,240102,240102,240102,Ou Ta Vau,36.495032
6,602,D,C,60209,60209,60209,Trapeang Ruessei,15.259009
6,602,D,C,60207,60207,60207,San Kor,10.425602
6,602,D,C,60201,60201,60201,Chey,1.734694
15,1501,D,C,150101,150101,150101,Boeng Bat Kandaol,1.171417
6,605,D,C,60505,60505,60505,Tang Krasau,1.512195
15,1501,D,C,150107,150107,150107,Snam Preah,5.681508
2,206,D,C,20604,20604,20604,Ruessei Krang,10.733396
2,213,D,C,21303,21303,21303,Hab,0
2,207,D,C,20703,20703,20703,Phlov Meas,7.300885
2,206,D,C,20602,20602,20602,Kear,45.961252
2,213,D,C,21305,21305,21305,Doun Ba,0
2,206,D,C,20601,20601,20601,Moung,42.966021
2,213,D,C,21302,21302,21302,Kaos Krala,28.571429
6,607,D,C,60701,60701,60701,Boeng Lvea,0
6,602,D,C,60204,60204,60204,Kampong Svay,0
6,607,D,C,60705,60705,60705,Kraya,8.59589
10,1004,D,C,100407,100407,100407,Sambour,39.295542
10,1004,D,C,100408,100408,100408,Sandan,8.196721
2,206,D,C,20603,20603,20603,Prey Svay,26.12072
10,1006,D,C,100607,100607,100607,Sambok,0
2,213,D,C,21304,21304,21304,Preah Phos,0
2,206,D,C,20609,20609,20609,Robas Mongkol,2.512964
