Com_Code,Commune,TT_Family,RLUn_1Ha_N,RLUn_1Ha_P
20603,Prey Svay,3003,535,17.8155
100607,Sambok,1715,177,10.3207
21304,Preah Phos,775,104,13.4194
20609,Robas Mongkol,2765,257,9.2948
100602,Changkrang,855,40,4.6784
20906,Mean Chey,1018,14,1.3752
150108,Svay Doun Kaev,1390,219,15.7554
20903,Ou Samril,1303,216,16.5771
21306,Chhnal Moan,921,51,5.5375
110101,Chong Phlah,613,156,25.4486
150102,Boeng Khnar,2913,904,31.0333
60709,Ti Pou,1974,410,20.77
100410,Voadthonak,899,435,48.3871
60206,Phat Sanday,1080,11,1.0185
60203,Kampong Kou,1411,380,26.9313
60308,Prey Ta Hu,1485,157,10.5724
60309,Achar Leak,1477,195,13.2024
60211,Prey Kuy,1144,275,24.0385
60210,Kdei Doung,1132,390,34.4523
100302,Chrouy Banteay,2372,551,23.2293
60710,Tboung Krapeu,1269,564,44.4444
100610,Thmei,2075,74,3.5663
60306,Kampong Krabau,1014,191,18.8363
110404,Bu Sra,984,238,24.187
20907,Ta Sanh,2013,372,18.4799
60303,Kampong Roteh,1069,303,28.3442
60301,Damrei Choan Khla,1528,586,38.3508
150203,Kandieng,1385,675,48.7365
60302,Kampong Thum,553,0,0
60304,Ou Kanthor,1137,389,34.2128
150306,Kampong Pou,1430,403,28.1818
150204,Kanhchor,2265,888,39.2053
20904,Sung,1255,341,27.1713
60704,Kakaoh,2426,989,40.7667
21401,Preaek Chik,1716,269,15.676
60310,Srayov,4334,1247,28.7725
150210,Kaoh Chum,1681,490,29.1493
20902,Kampong Lpov,1300,541,41.6154
60702,Chroab,992,212,21.371
110502,Sokh Dom,561,0,0
21402,Prey Tralach,1646,125,7.5942
150308,Ou Sandan,1174,700,59.6252
110403,Srae Ampum,316,50,15.8228
150309,Sna Ansa,1135,675,59.4714
150207,Svay Luong,1313,502,38.2331
150106,Rumlech,1842,327,17.7524
150110,Trapeang chorng,4223,1027,24.3192
150103,Khnar Totueng,1792,457,25.5022
60708,Tang Krasang,2760,502,18.1884
150201,Anlong Vil,1154,398,34.4887
110103,Srae Chhuk,654,80,12.2324
100603,Dar,1912,484,25.3138
40404,Phlov Tuk,761,15,1.9711
110503,Spean Mean Chey,845,0,0
150301,Anlong Tnaot,1972,714,36.2069
60703,Kampong Thma,2181,1050,48.1431
100605,Kou Loab,985,343,34.8223
60707,Prasat,2013,694,34.4759
110504,Romonea,627,64,10.2073
150504,Phteah Prey,3402,538,15.8142
