Com_Code,Commune,Family,PigFarm,PigRaised,ChickFarm,ChickRaise,DuckFarm,DuckRaised,CowFarm,CowRaised,BuffFarm,BuffRaised,Rpig,Rpoultry,Rcow,Rbuff
80907,Ponhea Lueu,753,7,12,30,100,6,60,44,89,2,6,1.7143,4.4444,2.0227,3
50807,Veal Pon,1739,419,1077,1208,5474,16,56,777,2741,0,0,2.5704,4.518,3.5277,0
80709,Ruessei Chrouy,2108,40,260,1773,10919,309,1185,315,517,4,13,6.5,5.8136,1.6413,3.25
140805,Mesar Prachan,2205,207,588,1544,15706,89,1976,295,708,500,1404,2.8406,10.8279,2.4,2.808
31001,Chan Mul,1075,29,68,597,3853,10,71,144,401,46,150,2.3448,6.4646,2.7847,3.2609
31203,Kak,4240,851,1746,2920,28442,540,3683,1435,4106,1193,3309,2.0517,9.2847,2.8613,2.7737
140809,Prey Sralet,2846,278,958,2337,31475,138,43029,1232,2516,486,1274,3.446,30.1026,2.0422,2.6214
141208,Prey Daeum Thnoeng,1029,25,102,665,1617,11,6780,567,931,18,51,4.08,12.4216,1.642,2.8333
80906,Phnum Bat,2359,40,355,1538,12594,45,592,1245,4183,0,0,8.875,8.3298,3.3598,0
80306,Preah Prasab,1763,55,286,985,2233,27,571,212,436,0,0,5.2,2.7708,2.0566,0
31414,Tong Tralach,910,141,246,488,1062,16,6620,212,484,358,612,1.7447,15.2421,2.283,1.7095
31010,Rung,1897,79,286,434,1618,14,66,256,1627,224,610,3.6203,3.7589,6.3555,2.7232
80913,Tumnob Thum,1598,90,384,759,7475,39,602,632,2232,0,0,4.2667,10.1216,3.5316,0
80703,Preaek Anhchanh,2802,154,751,1072,10241,84,632,353,941,1,1,4.8766,9.4057,2.6657,1
50802,Monourom,1088,240,668,824,3205,105,520,765,2507,0,0,2.7833,4.0097,3.2771,0
141209,Prey Tueng,1867,752,1939,1447,5078,50,21575,975,1457,303,971,2.5785,17.8043,1.4944,3.2046
141211,Ruessei Sanh,2094,210,815,656,4311,31,15250,947,2480,194,368,3.881,28.4731,2.6188,1.8969
50804,Prambei Mum,1953,214,1141,1649,13536,53,696,1431,6092,0,0,5.3318,8.3619,4.2572,0
31402,Chi Bal,877,66,212,518,5498,13,6350,510,1330,37,86,3.2121,22.3126,2.6078,2.3243
80310,Preaek Ta Meak,2792,78,330,1863,4926,16,205,443,904,0,0,4.2308,2.7307,2.0406,0
141201,Ampil Krau,1493,217,425,1232,5516,27,6088,533,846,253,560,1.9585,9.2168,1.5872,2.2134
31002,Choam,1334,144,1171,634,3170,9,50,85,209,37,89,8.1319,5.0078,2.4588,2.4054
31208,Trapeang Phlong,4423,832,2761,2412,20128,162,818,803,2601,754,2446,3.3185,8.1375,3.2391,3.244
80910,Preaek Ta Teaen,1691,2,9,452,1275,10,101,134,225,0,0,4.5,2.9784,1.6791,0
50404,Sangkae Satob,1388,751,1321,1131,14789,102,553,886,3793,0,0,1.759,12.4428,4.281,0
140408,Tnaot,1206,64,375,858,10747,53,547,635,1345,9,18,5.8594,12.3974,2.1181,2
140802,Kanhcham,3222,1240,2526,3087,37876,110,55997,1937,4602,168,375,2.0371,29.3628,2.3758,2.2321
50509,Trach Tong,1544,83,587,1293,6102,56,381,1243,4057,0,0,7.0723,4.8058,3.2639,0
90704,Ruessei Chrum,278,7,20,114,750,5,40,11,33,17,34,2.8571,6.6387,3,2
80312,Roka Chonlueng,1336,63,354,922,4567,10,5162,374,748,305,723,5.619,10.4388,2,2.3705
140405,Kouk Kong Lech,1545,80,480,1360,4736,64,586,888,1592,21,43,6,3.7374,1.7928,2.0476
140404,Kouk Kong Kaeut,1454,242,581,1425,7749,157,1933,704,1156,769,1417,2.4008,6.1201,1.642,1.8427
50805,Rung Roeang,1891,243,584,1269,6346,33,233,1262,3261,0,0,2.4033,5.053,2.584,0
80302,Chey Thum,1436,120,710,979,3797,85,6209,116,236,462,1022,5.9167,9.4041,2.0345,2.2121
80902,Chrey Loas,1821,57,579,1233,9293,38,1652,1150,3546,0,0,10.1579,8.6113,3.0835,0
80311,Puk Ruessei,2739,243,501,1970,10185,94,791,1404,2144,24,47,2.0617,5.3178,1.5271,1.9583
120713,Bak Kaeng,1561,21,268,463,1862,5,15,184,422,1,5,12.7619,4.0107,2.2935,5
50504,Khsem Khsant,1926,281,2416,1397,22160,38,457,1188,4291,110,110,8.5979,15.761,3.612,1
140402,Kanhchriech,1464,122,245,1383,7693,84,791,830,1408,13,31,2.0082,5.7832,1.6964,2.3846
141206,Pou Ti,1174,925,1096,1068,3329,51,38417,430,957,136,259,1.1849,37.3065,2.2256,1.9044
140201,Cheach,3225,1429,2645,2878,25684,891,2933,1839,3586,1168,3176,1.8509,7.5927,1.95,2.7192
50506,Mean Chey,1220,135,740,872,3787,28,276,1089,4721,0,0,5.4815,4.5144,4.3352,0
80313,Sanlung,2020,67,516,1519,9525,69,17359,392,563,117,320,7.7015,16.9295,1.4362,2.735
140403,Kdoeang Reay,2990,1001,1906,2708,6823,330,9470,1280,2459,346,770,1.9041,5.3631,1.9211,2.2254
140407,Thma Pun,2069,143,498,1787,6434,118,472,939,1535,131,241,3.4825,3.6252,1.6347,1.8397
120806,Samraong,1541,111,264,958,5594,127,5284,119,1523,12,48,2.3784,10.0258,12.7983,4
50501,Chan Saen,1393,110,987,1297,7974,17,138,1177,4432,0,0,8.9727,6.1735,3.7655,0
140811,Roka,3691,687,1415,2993,35863,86,22798,922,2067,227,638,2.0597,19.052,2.2419,2.8106
120714,Kaoh Dach,3064,65,408,2003,25236,36,198,397,982,0,0,6.2769,12.4738,2.4736,0
50512,Yutth Sameakki,1482,262,2308,1272,7472,101,916,1319,4204,1,7,8.8092,6.1092,3.1873,7
80318,Vihear Suork,2878,378,1161,2110,8216,86,10571,217,401,168,397,3.0714,8.5551,1.8479,2.3631
140807,Prey Pnov,4692,2015,3042,3913,40569,293,245016,2171,4947,254,664,1.5097,67.8994,2.2787,2.6142
80901,Chhveang,1797,245,718,1330,4516,62,1622,1224,3795,0,0,2.9306,4.4095,3.1005,0
140801,Kampong Popil,3175,336,1204,2310,23821,40,2045,558,1262,747,2288,3.5833,11.0068,2.2616,3.0629
140401,Chong Ampil,2139,799,1393,2105,14393,33,9991,1208,2947,617,1354,1.7434,11.4051,2.4396,2.1945
80314,Sithor,1669,145,541,338,1340,53,205,86,285,46,123,3.731,3.9514,3.314,2.6739
