NCDD_CodeP,NCDD_CodeD,NCDD_CodeC,Commune,SLR
7,703,70312,Satv Pong,0
7,703,70313,Trapeang Bei,0
7,703,70314,Tramaeng,1
7,704,70401,Chres,1
7,704,70402,Chumpu Voan,1
7,704,70403,Snay Anhchit,1
7,704,70404,Srae Chaeng,0
7,704,70405,Srae Knong,1
7,704,70406,Srae Samraong,1
7,704,70407,Trapeang Reang,1
7,705,70501,Damnak Sokram,1
7,705,70502,Dang Tong,1
7,705,70503,Khcheay Khang Cheung,0
7,705,70504,Khcheay Khang Tboung,0
7,705,70505,Mean Ritth,0
7,705,70506,Srae Chea Khang Cheung,0
7,705,70507,Srae Chea Khang Tboung,0
7,705,70508,Totung,0
7,705,70509,Angk  Romeas,0
7,705,70510,L'ang,0
7,706,70601,Boeng Sala Khang Cheung,1
7,706,70602,Boeng Sala Khang Tboung,1
7,706,70603,Damnak Kantuot Khang Cheung,1
7,706,70604,Damnak Kantuot Khang Tboung,1
7,706,70605,Kampong Trach Khang Kaeut,1
7,706,70606,Kampong Trach Khang Lech,1
7,706,70607,Prasat Phnom Khyang,1
7,706,70608,Phnom Prasat,1
7,706,70609,Ang Sophy,1
7,706,70612,Preaek Kroes,1
7,706,70613,Ruessei Srok Khang Kaeut,1
7,706,70614,Ruessei Srok Khang Lech,1
7,706,70615,Svay Tong Khang Cheung,1
7,706,70616,Svay Tong Khang Tboung,1
7,707,70701,Boeng Tuk,0
7,707,70702,Chum Kriel,0
7,707,70703,Kampong Kraeng,0
7,707,70704,Kampong Samraong,0
7,707,70705,Kandaol,0
7,707,70707,Kaoh Touch,0
7,707,70708,Koun Satv,0
7,707,70709,Makprang,0
7,707,70711,Preaek Tnoat,0
7,707,70712,Prey Khmum,0
7,707,70713,Prey Thnang,0
7,707,70715,Stueng Kaev,0
7,707,70716,Thmei,0
7,707,70717,Trapeang Pring,0
7,707,70718,Trapeang Sangkae,0
7,707,70719,Trapeang Thum,0
7,708,70801,Kampong Kandal,0
7,708,70802,Krang Ampil,0
7,708,70803,Kampong Bay,0
7,708,70804,Andoung Khmer,0
7,708,70805,Traeuy Kaoh,0
8,801,80101,Ampov Prey,1
8,801,80102,Anlong Romiet,1
8,801,80103,Barku,1
8,801,80104,Boeng Khyang,1
8,801,80105,Cheung Kaeub,1
8,801,80106,Daeum Rues,1
8,801,80107,Kandaok,1
8,801,80108,Thmei,1
8,801,80109,Kouk Trab,1
8,801,80113,Preah Putth,1
8,801,80115,Preaek Roka,1
8,801,80116,Preaek Slaeng,1
8,801,80117,Roka,1
8,801,80118,Roleang Kaen,1
8,801,80122,Siem Reab,1
8,801,80125,Tbaeng,1
8,801,80127,Trapeang Veaeng,1
8,801,80128,Trea,1
8,802,80201,Banteay Daek,0
8,802,80202,Chheu Teal,0
8,802,80203,Dei Edth,0
8,802,80204,Kampong Svay,0
8,802,80206,Kokir,0
8,802,80207,Kokir Thum,0
8,802,80208,Phum Thum,0
8,802,80211,Samraong Thum,0
8,803,80301,Bak Dav,0
8,803,80302,Chey Thum,0
8,803,80303,Kampong Chamlang,0
8,803,80304,Kaoh Chouram,0
8,803,80305,Kaoh Oknha Tei,0
8,803,80306,Preah Prasab,0
8,803,80307,Preaek Ampil,0
8,803,80308,Preaek Luong,0
8,803,80309,Preaek Ta kov,0
8,803,80310,Preaek Ta Meak,0
8,803,80311,Puk Ruessei,0
8,803,80312,Roka Chonlueng,0
8,803,80313,Sanlung,0
8,803,80314,Sithor,0
8,803,80315,Svay Chrum,0
8,803,80316,Svay Romiet,0
8,803,80317,Ta Aek,0
8,803,80318,Vihear Suork,0
8,804,80401,Chheu Kmau,0
8,804,80402,Chrouy Ta Kaev,0
8,804,80403,Kampong Kong,0
8,804,80404,Kaoh Thum Ka,0
8,804,80405,Kaoh Thum Kha,0
8,804,80407,Leuk Daek,0
8,804,80408,Pouthi Ban,0
8,804,80409,Prea?ek Chrey,0
8,804,80410,Preaek Sdei,0
8,804,80411,Preaek Thmei,0
8,804,80412,Sampeou Poun,0
8,805,80501,Kampong Phnum,0
8,805,80502,K'am Samnar,0
8,805,80503,Khpob Ateav,0
8,805,80504,Peam Reang,0
8,805,80505,Preaek Dach,0
8,805,80506,Preaek Tonloab,0
8,805,80507,Sandar,0
8,806,80601,Akreiy Ksatr,0
8,806,80602,Barong,0
8,806,80603,Boeng Krum,0
8,806,80604,Kaoh Kaev,0
8,806,80605,Kaoh Reah,0
8,806,80606,Lvea Sar,0
8,806,80607,Peam Oknha Ong,0
8,806,80608,Phum Thum,0
8,806,80609,Preaek Kmeng,0
8,806,80610,Preaek Rey,0
8,806,80611,Preaek Ruessei,0
8,806,80612,Sambuor,0
8,806,80613,Sarikakaev,0
8,806,80614,Thma Kor,0
8,806,80615,Tuek Khleang,0
8,807,80703,Preaek Anhchanh,0
8,807,80704,Preaek Dambang,0
8,807,80707,Roka Kong Ti Muoy,0
8,807,80708,Roka Kong Ti Pir,0
8,807,80709,Ruessei Chrouy,0
8,807,80710,Sambuor Meas,0
8,807,80711,Svay Ampear,0
8,808,80801,Baek Chan,1
8,808,80803,Chhak Chheu Neang,1
8,808,80804,Damnak Ampil,0
8,808,80807,Krang Mkak,0
8,808,80808,Lumhach,0
8,808,80809,Mkak,0
8,808,80811,Peuk,0
8,808,80813,Prey Puoch,0
8,808,80814,Samraong Leu,1
8,808,80816,Tuol Prech,0
8,809,80901,Chhveang,0
8,809,80902,Chrey Loas,0
8,809,80903,Kampong Luong,0
8,809,80904,Kampong Os,0
8,809,80905,Kaoh Chen,0
8,809,80906,Phnum Bat,0
8,809,80907,Ponhea Lueu,0
8,809,80910,Preaek Ta Teaen,0
8,809,80911,Phsar Daek,0
8,809,80913,Tumnob Thum,0
8,809,80914,Vihear Luong,0
8,810,81001,Khpob,0
8,810,81002,Kaoh Anlong Chen,0
8,810,81003,Kaoh Khael,0
8,810,81004,Kaoh Khsach Tonlea,0
8,810,81005,Krang Yov,1
8,810,81006,Prasat,0
8,810,81007,Preaek Ambel,0
8,810,81008,Preaek Koy,1
8,810,81009,Roka Khpos,1
8,810,81010,S'ang Phnum,1
8,810,81011,Setbou,1
8,810,81012,Svay Prateal,0
8,810,81013,Svay Rolum,1
8,810,81014,Ta Lon,0
8,810,81015,Traeuy Sla,0
8,810,81016,Tuek Vil,0
8,811,81101,Ta Kdol,0
8,811,81102,Prek Ruessey,0
8,811,81103,Doeum Mien,0
8,811,81104,Ta Khmao,0
8,811,81105,Prek Ho,0
8,811,81106,Kampong Samnanh,1
9,901,90101,Andoung Tuek,0
9,901,90102,Kandaol,0
9,901,90103,Ta Noun,0
9,901,90104,Thma Sa,0
9,902,90201,Kaoh Sdach,0
9,902,90202,Phnhi Meas,0
9,902,90203,Preaek Khsach,0
9,903,90301,Chrouy Pras,0
9,903,90302,Kaoh Kapi,0
9,903,90303,Ta Tai Kraom,0
9,903,90304,Trapeang Rung,0
9,904,90401,Smach Mean Chey,0
9,904,90402,Dang Tong,0
9,904,90403,Stueng Veaeng,0
9,905,90501,Pak Khlang,0
9,905,90502,Peam Krasaob,0
9,905,90503,Tuol Kokir,0
9,906,90601,Boeng Preav,0
9,906,90602,Chi Kha Kraom,0
9,906,90603,Chi kha Leu,0
9,906,90604,Chrouy Svay,0
9,906,90605,Dang Peaeng,0
9,906,90606,Srae Ambel,0
9,907,90701,Ta Tey Leu,0
9,907,90702,Pralay,0
9,907,90703,Chumnoab,0
9,907,90704,Ruessei Chrum,0
9,907,90705,Chi Phat,0
9,907,90706,Thma Doun Pov,0
10,1001,100101,Chhloung,0
10,1001,100102,Damrei Phong,0
