Province,District,Commune,Vil_Code,Village,L1_HH,L2_HH,L1_Per_HH,L2_Per_HH,TOT_PerHH,TOP_HH,Rounds,Scale
Kampong Speu,Basedth,Svay Chacheb,5011007,Andoung Lvea,4,19,0.046,0.218,0.264,23,2011,1
Kampong Speu,Basedth,Svay Chacheb,5011008,Char,7,51,0.044,0.321,0.365,58,2011,2
Kampong Speu,Basedth,Svay Chacheb,5011009,Trapeang Khtum,14,13,0.13,0.12,0.25,27,2011,1
Kampong Speu,Basedth,Svay Chacheb,5011010,Trapeang Thlok,44,31,0.191,0.135,0.326,75,2011,1
Kampong Speu,Basedth,Svay Chacheb,5011011,Khnach Kantuot,12,5,0.111,0.046,0.157,17,2011,1
Kampong Speu,Basedth,Svay Chacheb,5011012,Chrey,13,20,0.121,0.187,0.308,33,2011,1
Kampong Speu,Basedth,Svay Chacheb,5011013,Pongro,12,13,0.119,0.129,0.248,25,2011,1
Kampong Speu,Basedth,Svay Chacheb,5011014,Troyueng Ter,11,26,0.076,0.179,0.255,37,2011,1
Kampong Speu,Basedth,Svay Chacheb,5011015,Sangkae Leak,22,22,0.193,0.193,0.386,44,2011,1
Kampong Speu,Basedth,Toul Ampil,5011101,Sangkream Bour,27,14,0.166,0.086,0.252,41,2011,1
Kampong Speu,Basedth,Toul Ampil,5011102,Roka Pok,14,20,0.103,0.147,0.25,34,2011,1
Kampong Speu,Basedth,Toul Ampil,5011103,Trapeang Chumrov,18,20,0.129,0.143,0.271,38,2011,1
Kampong Speu,Basedth,Toul Ampil,5011104,Trapeang Khyang,12,23,0.071,0.135,0.206,35,2011,1
Kampong Speu,Basedth,Toul Ampil,5011105,Prey Peay,18,21,0.129,0.151,0.281,39,2011,4
Kampong Speu,Basedth,Toul Ampil,5011106,Prey Khla,22,26,0.154,0.182,0.336,48,2011,1
Kampong Speu,Basedth,Toul Ampil,5011107,Angk Kdei,36,40,0.224,0.248,0.472,76,2011,1
Kampong Speu,Basedth,Toul Ampil,5011108,Trapeang Tonloab,8,14,0.073,0.128,0.202,22,2011,1
Kampong Speu,Basedth,Toul Ampil,5011109,Damnak Trach,25,37,0.097,0.144,0.241,62,2011,1
Kampong Speu,Basedth,Toul Ampil,5011110,Prey Sralaeng,39,28,0.158,0.113,0.271,67,2011,2
Kampong Speu,Basedth,Toul Ampil,5011111,Angk Rongeang,19,21,0.134,0.148,0.282,40,2011,1
Kampong Speu,Basedth,Toul Ampil,5011112,Mi Leav,11,29,0.088,0.232,0.32,40,2011,1
Kampong Speu,Basedth,Toul Ampil,5011113,Kae Sraeng,26,11,0.224,0.095,0.319,37,2011,1
Kampong Speu,Basedth,Toul Ampil,5011114,Phan,10,26,0.089,0.232,0.321,36,2011,1
Kampong Speu,Basedth,Toul Ampil,5011115,Ta Meun,19,22,0.131,0.152,0.283,41,2011,1
Kampong Speu,Basedth,Toul Sala,5011201,Tuol Sala,10,14,0.084,0.118,0.202,24,2011,2
Kampong Speu,Basedth,Toul Sala,5011202,Ta Am,4,4,0.069,0.069,0.138,8,2011,1
Kampong Speu,Basedth,Toul Sala,5011203,Kaoh Chheu Teal,9,7,0.143,0.111,0.254,16,2011,1
Kampong Speu,Basedth,Toul Sala,5011204,Svay Rumpea,4,4,0.067,0.067,0.133,8,2011,1
Kampong Speu,Basedth,Toul Sala,5011205,Doun Penh,21,16,0.16,0.122,0.282,37,2011,1
Kampong Speu,Basedth,Toul Sala,5011206,Rumluek,6,6,0.075,0.075,0.15,12,2011,1
Kampong Speu,Basedth,Toul Sala,5011207,Prey Rongeang,12,20,0.179,0.299,0.478,32,2011,1
Kampong Speu,Basedth,Toul Sala,5011208,Pring,5,8,0.098,0.157,0.255,13,2011,2
Kampong Speu,Basedth,Toul Sala,5011209,Ta Tov,9,11,0.097,0.118,0.215,20,2011,1
Kampong Speu,Basedth,Toul Sala,5011210,Ou,7,5,0.175,0.125,0.3,12,2011,1
Kampong Speu,Basedth,Toul Sala,5011211,Thlok,39,24,0.203,0.125,0.328,63,2011,1
Kampong Speu,Basedth,Toul Sala,5011212,Srae Khle,29,41,0.166,0.234,0.4,70,2011,2
