Province,District,Com_Code,Commune,TT_Family,TT_M,TT_F,TT_Both,Both_UP_18,M_18_24,F_18_24,M_25_35,F_25_35,M_36_45,F_36_45,M_46_60,F_46_60,M_UP_61,F_UP_61,M_IM_UP_18,F_IM_UP_18,Both_IM_18,IM_UP_18_P,IM_POP_P
Ratanak Kiri,Veun Sai,160903,Hat Pak,319,705,760,1465,708,90,91,57,99,67,81,67,64,47,45,0,1,1,0.14000000000,0.07000000000
Siem Reap,Srei Snam,171205,Prei,793,1862,2040,3902,2422,332,330,319,331,215,250,169,244,86,146,310,156,466,19.24000000000,11.94000000000
Stung Treng,Thala Barivat,190505,Anlong Chrey,556,1541,1334,2875,1543,222,127,208,172,166,133,134,147,120,114,0,9,9,0.58000000000,0.31000000000
Banteay Meanchey,Svay Chek,010801,Phkoam,2298,5978,5364,11342,7192,1057,842,1093,996,634,606,698,650,287,329,657,354,1011,14.06000000000,8.91000000000
Preah Vihear,Chhaeb,130201,Chhaeb Muoy,793,1817,1909,3726,2051,135,221,198,219,229,252,206,250,174,167,0,5,5,0.24000000000,0.13000000000
Stung Treng,Thala Barivat,190509,Sam Ang,412,895,939,1834,883,96,96,137,127,69,83,68,87,54,66,0,6,6,0.68000000000,0.33000000000
Siem Reap,Angkor Chum,170106,Srae Khvav,1714,4073,4383,8456,4741,628,635,645,662,384,472,363,422,243,287,656,238,894,18.86000000000,10.57000000000
Ratanak Kiri,Ou Ya Dav,160706,Saom Thum,541,1394,1481,2875,1422,151,222,215,223,156,150,116,97,49,43,0,0,0,0.00000000000,0.00000000000
Ratanak Kiri,Bar Kaev,160301,Kak,639,1487,1839,3326,1415,141,172,242,227,151,167,134,104,52,25,0,0,0,0.00000000000,0.00000000000
Ratanak Kiri,Bar Kaev,160302,Keh Chong,883,2301,2399,4700,2318,263,349,327,325,262,240,206,173,110,63,0,0,0,0.00000000000,0.00000000000
Banteay Meanchey,Svay Chek,010803,Sla Kram,2525,5522,5378,10900,6880,851,873,900,936,743,694,771,619,232,261,812,518,1330,19.33000000000,12.20000000000
Banteay Meanchey,Svay Chek,010808,Roluos,967,1814,1918,3732,2502,261,279,387,390,238,237,248,267,84,111,137,78,215,8.59000000000,5.76000000000
Stung Treng,Sesan,190105,Sdau,474,1414,1038,2452,1354,213,154,239,148,125,117,115,94,68,81,0,1,1,0.07000000000,0.04000000000
Stung Treng,Sesan,190104,Samkhuoy,566,1237,1238,2475,1329,170,171,180,169,116,151,111,130,59,72,0,5,5,0.38000000000,0.20000000000
Stung Treng,Sesan,190106,Srae Kor,427,832,841,1673,1008,143,136,153,158,74,86,76,79,51,52,0,0,0,0.00000000000,0.00000000000
Preah Vihear,Preah Vihear,130802,Pal Hal,2276,5439,5158,10597,6051,676,711,841,811,606,641,522,575,323,345,5,17,22,0.36000000000,0.21000000000
Banteay Meanchey,Phnum Srok,010306,Phnum Dei,1958,4473,4484,8957,5931,788,773,822,747,478,554,560,568,300,341,422,254,676,11.40000000000,7.55000000000
Preah Vihear,Preah Vihear,130801,Kampong Pranak,2101,4600,4753,9353,5533,645,642,610,711,639,613,586,616,215,256,1,17,18,0.33000000000,0.19000000000
Preah Vihear,Kuleaen,130401,Kuleaen Tboung,885,1989,2024,4013,2313,232,225,257,342,239,241,237,250,150,140,17,16,33,1.43000000000,0.82000000000
Banteay Meanchey,Ou Chrov,010509,Ou Bei Choan,3114,7844,7623,15467,8241,988,914,1051,965,909,887,977,1041,227,282,922,675,1597,19.38000000000,10.33000000000
Siem Reap,Varin,171404,Svay Sa,1050,2404,2568,4972,2718,340,348,416,457,256,297,201,246,74,83,330,108,438,16.11000000000,8.81000000000
Banteay Meanchey,Svay Chek,010806,Ta Phou,1912,3886,3876,7762,4793,563,499,714,656,454,504,420,502,189,292,569,722,1291,26.94000000000,16.63000000000
Ratanak Kiri,Ou Ya Dav,160705,Sesan,319,742,790,1532,660,59,67,92,100,69,75,63,60,40,35,0,0,0,0.00000000000,0.00000000000
Ratanak Kiri,Koun Mom,160404,Teun,706,1540,1744,3284,1601,168,209,206,235,149,200,156,169,60,49,0,3,3,0.19000000000,0.09000000000
Siem Reap,Srei Snam,171203,Tram Sasar,1148,3133,3296,6429,3594,516,478,502,534,285,346,309,360,94,170,314,277,591,16.44000000000,9.19000000000
Ratanak Kiri,Ou Chum,160601,Cha Ung,651,1703,1666,3369,1611,189,225,236,222,145,158,137,130,93,76,0,0,0,0.00000000000,0.00000000000
Siem Reap,Srei Snam,171204,Moung,933,2365,2502,4867,2703,386,380,381,391,258,273,160,305,84,85,1150,316,1466,54.24000000000,30.12000000000
Banteay Meanchey,Svay Chek,010802,Sarongk,1087,2590,2647,5237,3162,410,332,419,413,318,350,223,385,158,154,224,97,321,10.15000000000,6.13000000000
Ratanak Kiri,Koun Mom,160403,Ta Ang,826,1713,1624,3337,1800,185,142,251,262,219,200,159,189,96,97,0,0,0,0.00000000000,0.00000000000
Banteay Meanchey,Svay Chek,010805,Ta Baen,972,1855,1909,3764,2541,314,289,354,368,217,236,231,295,97,140,231,123,354,13.93000000000,9.40000000000
Preah Vihear,Kuleaen,130404,Phnum Penh,822,2033,1992,4025,1868,232,200,236,238,220,240,163,158,101,80,4,9,13,0.70000000000,0.32000000000
Banteay Meanchey,Phnum Srok,010305,Srah Chik,1555,3459,3488,6947,4461,603,524,523,549,428,431,434,477,215,277,128,85,213,4.77000000000,3.07000000000
Preah Vihear,Chhaeb,130206,Mlu Prey Pir,383,1014,1084,2098,906,99,106,127,131,75,109,82,86,34,57,0,0,0,0.00000000000,0.00000000000
Banteay Meanchey,Phnum Srok,010304,Spean Sraeng,888,2091,2046,4137,2472,272,295,342,328,237,248,196,241,139,174,320,221,541,21.89000000000,13.08000000000
Stung Treng,Thala Barivat,190504,Kaoh Snaeng,479,1303,1250,2553,1448,163,184,183,170,194,160,141,128,63,62,10,12,22,1.52000000000,0.86000000000
Ratanak Kiri,Ou Chum,160603,Aekakpheap,608,1421,1400,2821,1352,157,193,241,210,108,123,106,139,40,35,0,0,0,0.00000000000,0.00000000000
Ratanak Kiri,Koun Mom,160406,Trapeang Kraham,655,1436,1248,2684,1247,138,135,162,153,149,145,151,133,24,57,0,4,4,0.32000000000,0.15000000000
