NCDD_CodeD,District,TOTPOP,DENSITY,NB_OUTMIGR,MIGRATION,NMR_PER100,Nb_InMIG_1,LSize_Skm,NB_EMIGRAN_PP,Emigr_Skm_PP,EmigPerPOP_PP,NB_EMIGRAN_PAI,Em_perSkm_PAI,Em_perPOP_PAI
1503,Krakor,82902,62.2,9703,-988,-11.92,8715,1332.714026,1119,0.839639996,13.49786495,244,0.183085039,2.94323418
1504,Phnum Kravanh,59466,17.4,9196,-1842,-30.98,7354,3417.213697,410,0.11998079,6.894696129,279,0.081645465,4.691756634
1505,Krong Pursat,58846,167.2,9980,-1131,-19.22,8849,352.3351023,1937,5.497607214,32.91642593,307,0.871329589,5.217007103
1506,Veal Veaeng,13052,3,543,7629,584.51,8172,4359.77723,14,0.003211173,1.072632547,3,0.000688109,0.229849831
1601,Andoung Meas,10365,12.4,881,-102,-9.84,779,837.8653926,28,0.033418256,2.701398939,1,0.001193509,0.096478534
1602,Krong Ban Lung,28982,143.5,4830,8111,279.86,12941,201.693481,262,1.299000834,9.040093851,20,0.099160369,0.6900835
1603,Bar Kaev,19953,42.7,759,2673,133.96,3432,467.3344739,11,0.023537746,0.551295545,2,0.00427959,0.100235554
1604,Koun Mom,15505,7.4,1290,1435,92.55,2725,2099.97493,11,0.005238158,0.709448565,0,0,0
1605,Lumphat,18975,10.4,811,2116,111.52,2927,1827.050889,11,0.006020631,0.579710145,1,0.00054733,0.052700922
1606,Ou Chum,17982,32.2,574,1416,78.75,1990,558.1614271,2,0.003583193,0.111222333,1,0.001791596,0.055611167
1607,Ou Ya Dav,16420,9.8,567,1095,66.69,1662,1671.367818,12,0.007179748,0.730816078,0,0,0
1608,Ta Veaeng,5835,2.6,390,151,25.88,541,2272.753206,4,0.00175998,0.685518423,1,0.000439995,0.171379606
1609,Veun Sai,16449,8.9,935,-350,-21.28,585,1849.424956,25,0.013517715,1.519849231,0,0,0
1701,Angkor Chum,53768,112.3,4594,-2120,-39.43,2474,479.0391943,69,0.144038318,1.283291177,48,0.100200569,0.892724297
1702,Angkor Thum,24335,68.2,1798,227,9.33,2025,357.256529,24,0.067178618,0.98623382,8,0.022392873,0.328744607
1703,Banteay Srei,42773,71.2,6380,2848,66.58,9228,600.7132556,69,0.114863455,1.613167185,14,0.023305629,0.327309284
1704,Chi Kraeng,125367,53.1,12646,-7679,-61.25,4967,2362.395024,664,0.28107069,5.296449624,114,0.048256112,0.909330207
1706,Kralanh,57690,101.6,10008,-5799,-100.52,4209,568.076954,244,0.429519273,4.229502513,299,0.526337141,5.182873982
1707,Puok,112882,111.5,11292,-6004,-53.19,5288,1011.711136,333,0.329145334,2.949983168,103,0.101807716,0.912457256
1709,Prasat Bakong,61425,179.6,4430,-1426,-23.22,3004,341.7472874,78,0.228238827,1.26984127,2,0.005852278,0.032560033
1710,Krong Siem Reab,230714,489.8,25520,45410,196.82,70930,470.6455116,2253,4.787042359,9.765337171,192,0.407950348,0.832199173
1711,Soutr Nikom,98378,126.1,16743,-10000,-108.99,6021,779.6187824,505,0.64775248,5.133261502,106,0.135963887,1.077476672
1712,Srei Snam,31359,56.2,4638,-1609,-51.31,3029,557.5760153,28,0.050217368,0.892885615,33,0.059184755,1.052329475
1713,Svay Leu,25726,13.4,2455,5614,218.22,8069,1917.720232,16,0.00834324,0.621938895,1,0.000521453,0.038871181
1714,Varin,32026,29.2,2474,4231,132.11,6705,1098.347937,11,0.010015041,0.34347093,4,0.003641833,0.12489852
1801,Krong Preah Sihanouk,91284,483,9420,23823,260.98,33243,189.3998631,2246,11.8585091,24.60453091,140,0.739176881,1.533675124
1802,Prey Nob,93141,78.9,10586,4,0.04,10590,1181.023741,1169,0.989819221,12.55086374,124,0.104993656,1.331314888
1803,Stueng Hav,20277,88.5,1640,5568,274.6,7208,228.7910869,240,1.048991913,11.83607042,19,0.083045193,0.937022242
1804,Kampong Seila,16694,16.9,0,5137,307.72,5137,985.9674926,0,0,0,0,0,0
1901,Sesan,17506,6.5,1439,812,46.38,2251,2701.670438,24,0.008883393,1.370958529,4,0.001480565,0.228493088
1902,Siem Bouk,14444,9.9,1497,660,45.69,2157,1459.125624,11,0.007538761,0.761561894,7,0.004797394,0.484630296
1903,Siem Pang,18323,4,1424,105,5.73,1529,4559.301449,7,0.001535323,0.38203351,0,0,0
1904,Krong Stueng Traeng,30959,44.9,4175,3486,112.6,7661,689.7805495,509,0.737915849,16.44109952,11,0.015947101,0.355308634
1905,Thala Barivat,30439,11.7,2136,-10,-0.33,2126,2606.992676,84,0.032221034,2.759617596,6,0.002301502,0.197115543
2001,Chantrea + Kron Bavet,62027,129.2,4936,-61,-0.98,4875,479.6401712,1604,3.344173604,25.85970626,13,0.046938386,0.209586148
2002,Kampong Rou,57732,146.5,7910,-5714,-98.97,2196,393.6981855,3031,7.698790881,52.5012125,63,0.160021058,1.091249221
2003,Rumduol,46944,170.7,7587,-5630,-119.93,1957,275.0217674,3188,11.59180973,67.91070211,14,0.050905062,0.298227676
2004,Romeas Haek,109068,142.9,12931,-8008,-73.42,4923,762.8621731,3702,4.85277699,33.94212785,35,0.045879847,0.320900722
2005,Svay Chrum,120318,230.9,14801,-10000,-93.23,3584,520.7568906,6725,12.91389537,55.89354876,42,0.080651837,0.349074951
2006,Krong Svay Rieng,40536,393.6,12459,-6806,-167.9,5653,103.2952913,6556,63.46852716,161.7327807,64,0.619582938,1.578843497
2007,Svay Teab,46163,138.6,7158,-4813,-104.26,2345,332.9702074,2910,8.73952064,63.03749756,20,0.060065434,0.433247406
2101,Angkor Borei,46261,153.7,5728,-3385,-73.17,2343,300.7328043,1626,5.40679293,35.14839714,95,0.315895036,2.053565638
2102,Bati,131031,349.4,17501,-10000,-81.19,6863,374.8306192,7111,18.97123563,54.26960032,234,0.624281977,1.785836939
2103,Borei Cholsar,26055,106.8,2402,-296,-11.36,2106,244.4033409,304,1.243845517,11.66762618,105,0.429617695,4.029936672
2104,Kiri Vong,97711,164.8,16986,-10000,-136.4,3658,592.6967206,4320,7.288719255,44.21201298,288,0.485914617,2.947467532
2105,Kaoh Andaet,48039,137.3,7477,-5752,-119.74,1725,350.182716,1535,4.383425937,31.95320469,172,0.491172157,3.580424239
2106,Prey Kabbas,95416,356,14372,-9674,-101.39,4698,267.5884933,4196,15.68079385,43.97585311,249,0.930533286,2.60962522
2107,Samraong,107807,366.7,14088,-8833,-81.93,5255,293.7660175,4745,16.15231074,44.01383955,246,0.837401147,2.281855538
2108,Krong Doun Kaev,41383,431.1,9525,-3571,-86.29,5954,95.88267953,3765,39.26673742,90.97938767,81,0.844782399,1.957325472
2109,Tram Kak,152170,271.7,25987,-20000,-120.46,7656,559.8981185,5842,10.43404114,38.39127292,778,1.389538515,5.112702898
2110,Treang,99033,241.5,17326,-10000,-144.88,2978,410.2645224,4910,11.96788835,49.57943312,443,1.079791149,4.473256389
2201,Anlong Veaeng,39045,25.5,6356,15891,406.99,22247,1532.822223,125,0.081548922,3.201434243,76,0.049581745,1.946472019
2202,Banteay Ampil,41005,33.6,4579,3138,76.53,7717,1220.585341,24,0.019662697,0.585294476,2,0.001638558,0.04877454
2203,Chong Kal,21749,22.4,3539,-45,-2.07,3494,972.8924426,9,0.009250766,0.413812129,2,0.002055726,0.091958251
2204,Krong Samraong,51414,36.2,6952,14577,283.52,21529,1419.20544,93,0.065529625,1.80884584,56,0.039458699,1.089197495
2205,Trapeang Prasat,32606,21.9,2834,20217,620.04,23051,1485.952436,17,0.011440474,0.521376434,7,0.004710783,0.214684414
2301,Damnak Chang'aeur,23048,261.9,848,1656,71.85,2504,87.60027384,51,0.582189961,2.212773343,12,0.136985873,0.520652551
2302,Krong Kaeb,12705,195.5,1005,889,69.97,1894,64.87759746,104,1.60301867,8.18575364,0,0,0
2401,Krong Pailin,36354,63.2,4160,16372,450.35,20532,574.5414964,246,0.428167507,6.7667932,1425,2.480238606,39.19788744
2402,Sala Krau,34132,67.9,2855,19979,585.35,22834,502.7342187,28,0.055695433,0.820344545,1807,3.594344552,52.94152115
