longitude,latitude,vil_code,village,school_name,school_dist
103.3020083,13.59624576,1040309,Pring Chou,Rohal,9075.517733
103.2955532,13.59439394,1040310,Kantrab,Rohal,8478.43604
103.2918961,13.58894572,1040311,Tnaot,Rohal,8341.458101
103.2882327,13.58440127,1040312,Anlong Sar,Rohal,8215.633561
103.2735999,13.56351168,1040313,Kandaol,Rohal,8430.97157
103.2867541,13.53287093,1040314,Kambaor,Rohal,11970.68916
103.2614912,13.44954185,1040315,Kabau,Rohal,19395.68147
103.260633,13.44049733,1040316,Kampong Krasang,Rohal,20353.50569
103.4085784,13.55084993,1040401,Char,Kralanh,3993.396363
103.4016386,13.44696401,1040402,Bat Trang,Kralanh,15446.04623
103.4155355,13.54526275,1040403,Sampov Lun,Kralanh,4473.993756
103.4151413,13.53642898,1040404,Phlov Leav,Kralanh,5451.846771
103.398919,13.47542006,1040405,Ta Am,Kralanh,12373.12659
103.411494,13.52917452,1040406,Ampil,Kralanh,6288.685336
103.411524,13.52465513,1040407,Kandal,Kralanh,6784.839851
103.4097064,13.52012402,1040408,Thmei,Kralanh,7306.421459
103.4125136,13.51471833,1040409,Ovmal,Kralanh,7868.459994
103.4051417,13.51195976,1040410,Tonloab,Kralanh,8275.11908
103.4070492,13.50293274,1040411,Kien Banteay,Kralanh,9229.693673
103.4024488,13.50019172,1040412,Prasat,Kralanh,9608.18732
103.4015672,13.49385871,1040413,Anlong Sa,Kralanh,10314.54825
103.3997681,13.48661593,1040414,Kampream,Kralanh,11137.83839
103.1661168,13.59943085,1040501,Paoy Kdoeang,Chup Vary,3078.417357
103.1800654,13.59267323,1040502,Cheung Voat,Chup Vary,3598.135105
103.1763766,13.59174245,1040503,Kandal,Chup Vary,3688.394993
103.1726809,13.59171537,1040504,Post Chas,Chup Vary,3722.177689
103.1689714,13.59349576,1040505,Paoy Samraong,Chup Vary,3604.205296
103.1602281,13.59501301,1040506,Paoy Pring,Chup Vary,3797.241101
103.1596763,13.60065771,1040507,Ta Paen,Chup Vary,3298.105595
103.1626988,13.56814298,1040508,Sreh Kaeut,Chup Vary,6490.257864
103.1506682,13.57076553,1040509,Sreh Lech,Chup Vary,6657.705623
103.1552384,13.57712599,1040510,Kouk Srok,Chup Vary,5811.273079
103.1220512,13.56784042,1040511,Sramaoch,Chhnour Meanchey,7551.514728
103.132326,13.55345681,1040512,Peam Sreh,Chup Vary,9291.694854
